% 1. Level Of Observation:
%
%     The battles of the War of the Five Kings
%
% 2. Variables:
%
%     name: string
%         The name of the battle.
%
%     year: numeric
%         The year of the battle.
%
%     battle_number: numeric
%         A unique ID number for the battle.
%
%     attacker_king: categorial
%         The attacker's king. A slash indicators that the king charges over the
%         course of the war. For example, "Joffrey/Tommen Baratheon" is coded as
%         such because one king follows the other in the Iron Throne.
%
%     defender_king: categorial
%         The defender's king.
%
%     attacker_1: string
%         Major house attacking.
%
%     attacker_2: string
%         Major house attacking.
%
%     attacker_3: string
%         Major house attacking.
%
%     attacker_4: string
%         Major house attacking.
%
%     defender_1: string
%         Major house defending.
%
%     defender_2: string
%         Major house defending.
%
%     defender_3: string
%         Major house defending.
%
%     defender_4: string
%         Major house defending.
%
%     attacker_outcome: categorial
%         The outcome from the perspective of the attacker.
%         Categories:
%             win,
%             loss,
%             draw
%
%     battle_type: categorial
%         A classification of the battle's primary type.
%         Categories:
%             pitched-battle: Armies meet in a location and fight. This is also
%                             the baseline category.
%             ambush:         A battle where stealth or subterfuge was the
%                             primary means of attack.
%             siege:          A prolonged of a fortied position.
%             razing:         An attack against an undefended position
%
%     major_death: binary
%         If there was a death of a major figure during the battle.
%
%     major_capture: binary
%         If there was the capture of the major figure during the battle.
%
%     attacker_size: numeric
%         The size of the attacker's force. No distinction is made between the
%         types of soldiers such as cavalry and footmen.
%
%     defender_size: numeric
%         The size of the defenders's force. No distinction is made between the
%         types of soldiers such as cavalry and footmen.
%
%     attacker_commander: string
%         Major commanders of the attackers. Commander's names are included
%         without honoric titles and commanders are seperated by commas.
%
%     defender_commander: string
%         Major commanders of the defender. Commander's names are included
%         without honoric titles and commandders are seperated by commas.
%
%     summer: binary
%         Was it summer?
%
%     location: string
%         The location of the battle.
%
%     region: categorial
%         The region where the battle takes place.
%         Categories:
%             Beyond the Wall,
%             The North,
%             The Iron Islands,
%             The Riverlands,
%             The Vale of Arryn,
%             The Westerlands,
%             The Crownlands,
%             The Reach,
%             The Stormlands,
%             Dorne
%
%     note: string
%        Coding notes regarding individual observations.
%
% 3. Source:
%
%   A Wiki of Fire and Ice's War Of The Five Kings page on the war and the
%   ages of individual battles. Data collected August 17, 2014 at 4:30am-ish.
%
% 4. Github:
%   https://github.com/chrisalbon/war_of_the_five_kings_dataset

@relation wot5k

@attribute name                 string
@attribute year                 numeric
@attribute battle_number        numeric
@attribute attacker_king        string
@attribute defender_king        string
@attribute attacker_1           string
@attribute attacker_2           string
@attribute attacker_3           string
@attribute attacker_4           string
@attribute defender_1           string
@attribute defender_2           string
@attribute defender_3           string
@attribute defender_4           string
@attribute attacker_outcome     {win,loss,draw}
@attribute battle_type          {pitched-battle,ambush,siege,razing}
@attribute major_death          numeric
@attribute major_capture        numeric
@attribute attacker_size        numeric
@attribute defender_size        numeric
@attribute attacker_commander   string
@attribute defender_commander   string
@attribute summer               numeric
@attribute location             string
@attribute region               string
@attribute note                 string

@data
"Battle of the Golden Tooth",298,1,"Joffrey/Tommen Baratheon","Robb Stark",Lannister,?,?,?,Tully,?,?,?,win,pitched-battle,1,0,15000,4000,"Jaime Lannister","Clement Piper, Vance",1,"Golden Tooth","The Westerlands",?
"Battle at the Mummer's Ford",298,2,"Joffrey/Tommen Baratheon","Robb Stark",Lannister,?,?,?,Baratheon,?,?,?,win,ambush,1,0,?,120,"Gregor Clegane","Beric Dondarrion",1,"Mummer's Ford","The Riverlands",?
"Battle of Riverrun",298,3,"Joffrey/Tommen Baratheon","Robb Stark",Lannister,?,?,?,Tully,?,?,?,win,pitched-battle,0,1,15000,10000,"Jaime Lannister, Andros Brax","Edmure Tully, Tytos Blackwood",1,Riverrun,"The Riverlands",?
"Battle of the Green Fork",298,4,"Robb Stark","Joffrey/Tommen Baratheon",Stark,?,?,?,Lannister,?,?,?,loss,pitched-battle,1,1,18000,20000,"Roose Bolton, Wylis Manderly, Medger Cerwyn, Harrion Karstark, Halys Hornwood","Tywin Lannister, Gregor Clegane, Kevan Lannister, Addam Marbrand",1,"Green Fork","The Riverlands",?
"Battle of the Whispering Wood",298,5,"Robb Stark","Joffrey/Tommen Baratheon",Stark,Tully,?,?,Lannister,?,?,?,win,ambush,1,1,1875,6000,"Robb Stark, Brynden Tully","Jaime Lannister",1,"Whispering Wood","The Riverlands",?
"Battle of the Camps",298,6,"Robb Stark","Joffrey/Tommen Baratheon",Stark,Tully,?,?,Lannister,?,?,?,win,ambush,0,0,6000,12625,"Robb Stark, Tytos Blackwood, Brynden Tully","Lord Andros Brax, Forley Prester",1,Riverrun,"The Riverlands",?
"Sack of Darry",298,7,"Joffrey/Tommen Baratheon","Robb Stark",Lannister,?,?,?,Darry,?,?,?,win,pitched-battle,0,0,?,?,"Gregor Clegane","Lyman Darry",1,Darry,"The Riverlands",?
"Battle of Moat Cailin",299,8,"Balon/Euron Greyjoy","Robb Stark",Greyjoy,?,?,?,Stark,?,?,?,win,pitched-battle,0,0,?,?,"Victarion Greyjoy",?,1,"Moat Cailin","The North",?
"Battle of Deepwood Motte",299,9,"Balon/Euron Greyjoy","Robb Stark",Greyjoy,?,?,?,Stark,?,?,?,win,siege,0,0,1000,?,"Asha Greyjoy",?,1,"Deepwood Motte","The North",?
"Battle of the Stony Shore",299,10,"Balon/Euron Greyjoy","Robb Stark",Greyjoy,?,?,?,Stark,?,?,?,win,ambush,0,0,264,?,"Theon Greyjoy",?,1,"Stony Shore","The North","Greyjoy's troop number based on the Battle of Deepwood Motte, in which Asha had 1000 soldier on 30 longships. That comes out to ~33 per longship. In the Battle of the Stony Shore, Theon has 8 longships, and just we can estimate that he has 8*33 =265 troops."
