
@relation poke

@attribute nr       numeric
@attribute name     string
@attribute type-1   {Normal,Water,Fire,Grass,Poison,Flying,Fighting,Ground,Rock,Fairy,Steel,Dragon,Bug,Psychic,Ice,Dark,Ghost,Electric}
@attribute type-2   {Normal,Water,Fire,Grass,Poison,Flying,Fighting,Ground,Rock,Fairy,Steel,Dragon,Bug,Psychic,Ice,Dark,Ghost,Electric}
@attribute total    numeric
@attribute hp       numeric
@attribute attack   numeric
@attribute defense  numeric
@attribute sp.atk   numeric
@attribute sp.def   numeric
@attribute speed    numeric
@attribute color    {Red,Blue,Yellow,Green,Black,Brown,Purple,Gray,White,Pink}

@data
001,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,Green
002,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,Green
003,Venusaur,Grass,Poison,525,80,82,83,100,100,80,Green
004,Charmander,Fire,?,309,39,52,43,60,50,65,Red
005,Charmeleon,Fire,?,405,58,64,58,80,65,80,Red
006,Charizard,Fire,Flying,534,78,84,78,109,85,100,Red
007,Squirtle,Water,?,314,44,48,65,50,64,43,Blue
008,Wartortle,Water,?,405,59,63,80,65,80,58,Blue
009,Blastoise,Water,?,530,79,83,100,85,105,78,Blue
010,Caterpie,Bug,?,195,45,30,35,20,20,45,Green
011,Metapod,Bug,?,205,50,20,55,25,25,30,Green
012,Butterfree,Bug,Flying,395,60,45,50,90,80,70,White
013,Weedle,Bug,Poison,195,40,35,30,20,20,50,Brown
014,Kakuna,Bug,Poison,205,45,25,50,25,25,35,Yellow
015,Beedrill,Bug,Poison,395,65,90,40,45,80,75,Yellow
016,Pidgey,Normal,Flying,251,40,45,40,35,35,56,Brown
017,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,Brown
018,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,Brown
019,Rattata,Normal,?,253,30,56,35,25,35,72,Purple
020,Raticate,Normal,?,413,55,81,60,50,70,97,Brown
021,Spearow,Normal,Flying,262,40,60,30,31,31,70,Brown
022,Fearow,Normal,Flying,442,65,90,65,61,61,100,Brown
023,Ekans,Poison,?,288,35,60,44,40,54,55,Purple
024,Arbok,Poison,?,438,60,85,69,65,79,80,Purple
025,Pikachu,Electric,?,320,35,55,40,50,50,90,Yellow
026,Raichu,Electric,?,485,60,90,55,90,80,110,Yellow
027,Sandshrew,Ground,?,300,50,75,85,20,30,40,Yellow
028,Sandslash,Ground,?,450,75,100,110,45,55,65,Yellow
029,Nidoran♀,Poison,?,275,55,47,52,40,40,41,Blue
030,Nidorina,Poison,?,365,70,62,67,55,55,56,Blue
031,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,Blue
032,Nidoran♂,Poison,?,273,46,57,40,40,40,50,Purple
033,Nidorino,Poison,?,365,61,72,57,55,55,65,Purple
034,Nidoking,Poison,Ground,505,81,102,77,85,75,85,Purple
035,Clefairy,Fairy,?,323,70,45,48,60,65,35,Pink
036,Clefable,Fairy,?,483,95,70,73,95,90,60,Pink
037,Vulpix,Fire,?,299,38,41,40,50,65,65,Brown
038,Ninetales,Fire,?,505,73,76,75,81,100,100,Yellow
039,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,Pink
040,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,Pink
041,Zubat,Poison,Flying,245,40,45,35,30,40,55,Purple
042,Golbat,Poison,Flying,455,75,80,70,65,75,90,Purple
043,Oddish,Grass,Poison,320,45,50,55,75,65,30,Blue
044,Gloom,Grass,Poison,395,60,65,70,85,75,40,Blue
045,Vileplume,Grass,Poison,490,75,80,85,110,90,50,Red
046,Paras,Bug,Grass,285,35,70,55,45,55,25,Red
047,Parasect,Bug,Grass,405,60,95,80,60,80,30,Red
048,Venonat,Bug,Poison,305,60,55,50,40,55,45,Purple
049,Venomoth,Bug,Poison,450,70,65,60,90,75,90,Purple
050,Diglett,Ground,?,265,10,55,25,35,45,95,Brown
051,Dugtrio,Ground,?,405,35,80,50,50,70,120,Brown
052,Meowth,Normal,?,290,40,45,35,40,40,90,Yellow
053,Persian,Normal,?,440,65,70,60,65,65,115,Yellow
054,Psyduck,Water,?,320,50,52,48,65,50,55,Yellow
055,Golduck,Water,?,500,80,82,78,95,80,85,Blue
056,Mankey,Fighting,?,305,40,80,35,35,45,70,Brown
057,Primeape,Fighting,?,455,65,105,60,60,70,95,Brown
058,Growlithe,Fire,?,350,55,70,45,70,50,60,Brown
059,Arcanine,Fire,?,555,90,110,80,100,80,95,Brown
060,Poliwag,Water,?,300,40,50,40,40,40,90,Blue
061,Poliwhirl,Water,?,385,65,65,65,50,50,90,Blue
062,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,Blue
063,Abra,Psychic,?,310,25,20,15,105,55,90,Brown
064,Kadabra,Psychic,?,400,40,35,30,120,70,105,Brown
065,Alakazam,Psychic,?,500,55,50,45,135,95,120,Brown
066,Machop,Fighting,?,305,70,80,50,35,35,35,Gray
067,Machoke,Fighting,?,405,80,100,70,50,60,45,Gray
068,Machamp,Fighting,?,505,90,130,80,65,85,55,Gray
069,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,Green
070,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,Green
071,Victreebel,Grass,Poison,490,80,105,65,100,70,70,Green
072,Tentacool,Water,Poison,335,40,40,35,50,100,70,Blue
073,Tentacruel,Water,Poison,515,80,70,65,80,120,100,Blue
074,Geodude,Rock,Ground,300,40,80,100,30,30,20,Brown
075,Graveler,Rock,Ground,390,55,95,115,45,45,35,Brown
076,Golem,Rock,Ground,495,80,120,130,55,65,45,Brown
077,Ponyta,Fire,?,410,50,85,55,65,65,90,Yellow
078,Rapidash,Fire,?,500,65,100,70,80,80,105,Yellow
079,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,Pink
080,Slowbro,Water,Psychic,490,95,75,110,100,80,30,Pink
081,Magnemite,Electric,Steel,325,25,35,70,95,55,45,Gray
082,Magneton,Electric,Steel,465,50,60,95,120,70,70,Gray
084,Doduo,Normal,Flying,310,35,85,45,35,35,75,Brown
085,Dodrio,Normal,Flying,460,60,110,70,60,60,100,Brown
086,Seel,Water,?,325,65,45,55,45,70,45,White
087,Dewgong,Water,Ice,475,90,70,80,70,95,70,White
088,Grimer,Poison,?,325,80,80,50,40,50,25,Purple
089,Muk,Poison,?,500,105,105,75,65,100,50,Purple
090,Shellder,Water,?,305,30,65,100,45,25,40,Purple
091,Cloyster,Water,Ice,525,50,95,180,85,45,70,Purple
092,Gastly,Ghost,Poison,310,30,35,30,100,35,80,Purple
093,Haunter,Ghost,Poison,405,45,50,45,115,55,95,Purple
094,Gengar,Ghost,Poison,500,60,65,60,130,75,110,Purple
095,Onix,Rock,Ground,385,35,45,160,30,45,70,Gray
096,Drowzee,Psychic,?,328,60,48,45,43,90,42,Yellow
097,Hypno,Psychic,?,483,85,73,70,73,115,67,Yellow
098,Krabby,Water,?,325,30,105,90,25,25,50,Red
099,Kingler,Water,?,475,55,130,115,50,50,75,Red
100,Voltorb,Electric,?,330,40,30,50,55,55,100,Red
101,Electrode,Electric,?,480,60,50,70,80,80,140,Red
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,Pink
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,Yellow
104,Cubone,Ground,?,320,50,50,95,40,50,35,Brown
105,Marowak,Ground,?,425,60,80,110,50,80,45,Brown
106,Hitmonlee,Fighting,?,455,50,120,53,35,110,87,Brown
107,Hitmonchan,Fighting,?,455,50,105,79,35,110,76,Brown
108,Lickitung,Normal,?,385,90,55,75,60,75,30,Pink
109,Koffing,Poison,?,340,40,65,95,60,45,35,Purple
110,Weezing,Poison,?,490,65,90,120,85,70,60,Purple
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,Gray
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,Gray
113,Chansey,Normal,?,450,250,5,5,35,105,50,Pink
114,Tangela,Grass,?,435,65,55,115,100,40,60,Blue
115,Kangaskhan,Normal,?,490,105,95,80,40,80,90,Brown
116,Horsea,Water,?,295,30,40,70,70,25,60,Blue
117,Seadra,Water,?,440,55,65,95,95,45,85,Blue
118,Goldeen,Water,?,320,45,67,60,35,50,63,Red
119,Seaking,Water,?,450,80,92,65,65,80,68,Red
120,Staryu,Water,?,340,30,45,55,70,55,85,Brown
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,Purple
122,Mr.Mime,Psychic,Fairy,460,40,45,65,100,120,90,Pink
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,Green
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,Red
125,Electabuzz,Electric,?,490,65,83,57,95,85,105,Yellow
126,Magmar,Fire,?,495,65,95,57,100,85,93,Red
127,Pinsir,Bug,?,500,65,125,100,55,70,85,Brown
128,Tauros,Normal,?,490,75,100,95,40,70,110,Brown
129,Magikarp,Water,?,200,20,10,55,15,20,80,Red
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,Blue
131,Lapras,Water,Ice,535,130,85,80,85,95,60,Blue
132,Ditto,Normal,?,288,48,48,48,48,48,48,Purple
133,Eevee,Normal,?,325,55,55,50,45,65,55,Brown
134,Vaporeon,Water,?,525,130,65,60,110,95,65,Blue
135,Jolteon,Electric,?,525,65,65,60,110,95,130,Yellow
136,Flareon,Fire,?,525,65,130,60,95,110,65,Red
137,Porygon,Normal,?,395,65,60,70,85,75,40,Pink
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,Blue
139,Omastar,Rock,Water,495,70,60,125,115,70,55,Blue
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,Brown
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,Brown
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,Purple
143,Snorlax,Normal,?,540,160,110,65,65,110,30,Black
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,Blue
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,Yellow
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,Yellow
147,Dratini,Dragon,?,300,41,64,45,50,50,50,Blue
148,Dragonair,Dragon,?,420,61,84,65,70,70,70,Blue
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,Brown
150,Mewtwo,Psychic,?,680,106,110,90,154,90,130,Purple
151,Mew,Psychic,?,600,100,100,100,100,100,100,Pink
152,Chikorita,Grass,?,318,45,49,65,49,65,45,Green
153,Bayleef,Grass,?,405,60,62,80,63,80,60,Green
154,Meganium,Grass,?,525,80,82,100,83,100,80,Green
155,Cyndaquil,Fire,?,309,39,52,43,60,50,65,Yellow
156,Quilava,Fire,?,405,58,64,58,80,65,80,Yellow
157,Typhlosion,Fire,?,534,78,84,78,109,85,100,Yellow
158,Totodile,Water,?,314,50,65,64,44,48,43,Blue
159,Croconaw,Water,?,405,65,80,80,59,63,58,Blue
160,Feraligatr,Water,?,530,85,105,100,79,83,78,Blue
161,Sentret,Normal,?,215,35,46,34,35,45,20,Brown
162,Furret,Normal,?,415,85,76,64,45,55,90,Brown
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,Brown
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,Brown
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,Red
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,Red
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,Green
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,Red
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,Purple
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,Blue
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,Blue
172,Pichu,Electric,?,205,20,40,15,35,35,60,Yellow
173,Cleffa,Fairy,?,218,50,25,28,45,55,15,Pink
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,Pink
175,Togepi,Fairy,?,245,35,20,65,40,65,20,White
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,White
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,Green
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,Green
179,Mareep,Electric,?,280,55,40,40,65,45,35,White
180,Flaaffy,Electric,?,365,70,55,55,80,60,45,Pink
181,Ampharos,Electric,?,510,90,75,85,115,90,55,Yellow
182,Bellossom,Grass,?,490,75,80,95,90,100,50,Green
183,Marill,Water,Fairy,250,70,20,50,20,50,40,Blue
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,Blue
185,Sudowoodo,Rock,?,410,70,100,115,30,65,30,Brown
186,Politoed,Water,?,500,90,75,75,90,100,70,Green
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,Pink
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,Green
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,Blue
190,Aipom,Normal,?,360,55,70,55,40,55,85,Purple
191,Sunkern,Grass,?,180,30,30,30,30,30,30,Yellow
192,Sunflora,Grass,?,425,75,75,55,105,85,30,Yellow
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,Red
194,Wooper,Water,Ground,210,55,45,45,25,25,15,Blue
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,Blue
196,Espeon,Psychic,?,525,65,65,60,130,95,110,Purple
197,Umbreon,Dark,?,525,95,65,110,60,130,65,Black
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,Black
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,Pink
200,Misdreavus,Ghost,?,435,60,60,60,85,85,85,Gray
201,Unown,Psychic,?,336,48,72,48,72,48,48,Black
202,Wobbuffet,Psychic,?,405,190,33,58,33,58,33,Blue
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,Yellow
204,Pineco,Bug,?,290,50,65,90,35,35,15,Gray
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,Purple
206,Dunsparce,Normal,?,415,100,70,70,65,65,45,Yellow
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,Purple
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,Gray
209,Snubbull,Fairy,?,300,60,80,50,40,40,30,Pink
210,Granbull,Fairy,?,450,90,120,75,60,60,45,Purple
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,Gray
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,Red
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,Yellow
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,Blue
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,Black
216,Teddiursa,Normal,?,330,60,80,50,50,50,40,Brown
217,Ursaring,Normal,?,500,90,130,75,75,75,55,Brown
218,Slugma,Fire,?,250,40,40,40,70,40,20,Red
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,Red
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,Brown
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,Brown
222,Corsola,Water,Rock,380,55,55,85,65,85,35,Pink
223,Remoraid,Water,?,300,35,65,35,65,35,65,Gray
224,Octillery,Water,?,480,75,105,75,105,75,45,Red
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,Red
226,Mantine,Water,Flying,465,65,40,70,80,140,70,Purple
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,Gray
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,Black
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,Black
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,Blue
231,Phanpy,Ground,?,330,90,60,60,40,40,40,Blue
232,Donphan,Ground,?,500,90,120,120,60,60,50,Gray
233,Porygon2,Normal,?,515,85,80,90,105,95,60,Red
234,Stantler,Normal,?,465,73,95,62,85,65,85,Brown
235,Smeargle,Normal,?,250,55,20,35,20,45,75,White
236,Tyrogue,Fighting,?,210,35,35,35,35,35,35,Purple
237,Hitmontop,Fighting,?,455,50,95,95,35,110,70,Brown
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,Pink
239,Elekid,Electric,?,360,45,63,37,65,55,95,Yellow
240,Magby,Fire,?,365,45,75,37,70,55,83,Red
241,Miltank,Normal,?,490,95,80,105,40,70,100,Pink
242,Blissey,Normal,?,540,255,10,10,75,135,55,Pink
243,Raikou,Electric,?,580,90,85,75,115,100,115,Yellow
244,Entei,Fire,?,580,115,115,85,90,75,100,Brown
245,Suicune,Water,?,580,100,75,115,90,115,85,Blue
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,Green
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,Gray
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,Green
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,White
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,Green
252,Treecko,Grass,?,310,40,45,35,65,55,70,Green
253,Grovyle,Grass,?,405,50,65,45,85,65,95,Green
254,Sceptile,Grass,?,530,70,85,65,105,85,120,Green
255,Torchic,Fire,?,310,45,60,40,70,50,45,Red
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,Red
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,Red
258,Mudkip,Water,?,310,50,70,50,50,50,40,Blue
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,Blue
260,Swampert,Water,Ground,535,100,110,90,85,90,60,Blue
261,Poochyena,Dark,?,220,35,55,35,30,30,35,Gray
262,Mightyena,Dark,?,420,70,90,70,60,60,70,Gray
263,Zigzagoon,Normal,?,240,38,30,41,30,41,60,Brown
264,Linoone,Normal,?,420,78,70,61,50,61,100,White
265,Wurmple,Bug,?,195,45,45,35,20,30,20,Red
266,Silcoon,Bug,?,205,50,35,55,25,25,15,White
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,Yellow
268,Cascoon,Bug,?,205,50,35,55,25,25,15,Purple
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,Green
270,Lotad,Water,Grass,220,40,30,30,40,50,30,Green
271,Lombre,Water,Grass,340,60,50,50,60,70,50,Green
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,Green
273,Seedot,Grass,?,220,40,40,50,30,30,30,Brown
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,Brown
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,Brown
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,Blue
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,Blue
278,Wingull,Water,Flying,270,40,30,30,55,30,85,White
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,Yellow
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,White
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,White
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,White
283,Surskit,Bug,Water,269,40,30,32,50,52,65,Blue
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,Blue
285,Shroomish,Grass,?,295,60,40,60,40,60,35,Brown
