,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,quality,imdb_z
0,1,918,723.0,178.0,0.0,855.0,1398,1000.0,760505847.0,0,264,395,886204,4834,3424,0.0,1317,2956,3054.0,11,61,7,237000000.0,2009.0,936.0,7.9,1.78,33000,4,1.2955017628380907
1,1,790,302.0,169.0,563.0,1000.0,2206,40000.0,309404152.0,0,972,2719,471220,48350,1383,0.0,4274,2712,1238.0,11,61,7,300000000.0,2007.0,5000.0,7.1,2.35,0,4,0.5849758692725247
2,1,2015,602.0,148.0,0.0,161.0,2476,11000.0,200074175.0,0,348,3263,275868,11700,3116,1.0,2077,4519,994.0,11,60,7,245000000.0,2015.0,393.0,6.8,2.35,85000,3,0.3185286591854378
3,1,370,813.0,164.0,22000.0,23000.0,529,27000.0,448130642.0,0,1952,3694,1144337,106759,1753,0.0,3477,3747,2701.0,11,61,7,250000000.0,2012.0,23000.0,8.5,2.35,164000,5,1.8283961830122644
4,1,596,140.43906846014858,107.26346230554448,131.0,646.5049940071914,2420,131.0,48549464.42870905,6,521,3316,8,143,1685,0.0,0,4903,273.31629392971246,11,61,9,39831118.41831792,2002.4634295002031,12.0,7.1,2.2149373273849364,0,4,0.5849758692725247
5,1,99,462.0,132.0,475.0,530.0,2535,640.0,73058679.0,0,436,1952,212204,1873,2699,1.0,650,2469,738.0,11,61,7,263700000.0,2012.0,632.0,6.6,2.35,24000,3,0.1408971857940463
6,1,2018,392.0,156.0,0.0,4000.0,1220,24000.0,336530303.0,0,779,3275,383056,46055,1955,0.0,4733,2519,1902.0,11,61,7,258000000.0,2007.0,11000.0,6.2,2.35,0,3,-0.21436576098873592
7,1,1641,324.0,100.0,15.0,284.0,794,799.0,200807262.0,1,216,3445,294810,2036,2148,1.0,28,2451,387.0,11,61,6,260000000.0,2010.0,553.0,7.8,1.85,29000,4,1.2066860261423946
8,1,1214,635.0,141.0,0.0,19000.0,2427,26000.0,458991599.0,0,331,396,462669,92000,3000,4.0,1132,4532,1117.0,11,61,7,250000000.0,2015.0,21000.0,7.5,2.35,118000,4,0.9402388160553077
9,1,545,375.0,153.0,282.0,10000.0,648,25000.0,301956980.0,1,30,1622,321795,58753,2926,3.0,2004,2544,973.0,11,60,6,250000000.0,2009.0,11000.0,7.5,2.35,10000,4,0.9402388160553077
10,1,2378,673.0,183.0,0.0,2000.0,1694,15000.0,330249062.0,0,734,456,371639,24450,53,0.0,1561,4676,3018.0,11,61,7,250000000.0,2016.0,4000.0,6.9,2.35,197000,3,0.40734439588113397
11,1,276,434.0,169.0,0.0,903.0,1899,18000.0,200069408.0,0,1094,3401,240396,29991,1123,0.0,3306,2166,2367.0,11,61,7,209000000.0,2006.0,10000.0,6.1,2.35,0,3,-0.3031814976844321
12,1,1421,403.0,106.0,395.0,393.0,1930,451.0,168368427.0,0,679,2800,330784,2023,2903,1.0,351,3102,1243.0,11,60,7,200000000.0,2008.0,412.0,6.7,2.35,0,3,0.22971292248974245
13,1,790,313.0,151.0,563.0,1000.0,2206,40000.0,423032628.0,0,972,2720,522040,48486,1383,2.0,2185,2373,1832.0,11,61,7,225000000.0,2006.0,5000.0,7.3,2.35,5000,4,0.7626073426639162
14,1,790,450.0,150.0,563.0,1000.0,2504,40000.0,89289910.0,0,972,4018,181792,45757,3299,1.0,4400,3560,711.0,11,61,7,215000000.0,2013.0,2000.0,6.5,2.35,48000,3,0.05208144909835094
15,1,2378,733.0,143.0,0.0,748.0,548,15000.0,291021565.0,0,734,2250,548573,20495,1283,0.0,1564,2986,2536.0,11,61,7,225000000.0,2013.0,3000.0,7.2,2.35,118000,4,0.6737916059682209
16,1,83,258.0,150.0,80.0,201.0,2311,22000.0,141614023.0,0,1555,3642,149922,22697,729,4.0,2339,2955,438.0,11,61,6,225000000.0,2008.0,216.0,6.6,2.35,0,3,0.1408971857940463
17,1,1214,703.0,173.0,0.0,19000.0,2427,26000.0,623279547.0,0,331,3522,995415,87697,3000,3.0,637,3127,1722.0,11,61,7,220000000.0,2012.0,21000.0,8.1,1.85,123000,5,1.4731332362294813
18,1,1905,448.0,136.0,252.0,1000.0,2527,40000.0,241063875.0,0,972,2721,370704,54083,3124,4.0,1942,3692,484.0,11,61,7,250000000.0,2011.0,11000.0,6.7,2.35,58000,3,0.22971292248974245
19,1,167,451.0,106.0,188.0,718.0,2040,10000.0,179020854.0,0,2040,2318,268154,12572,2523,1.0,683,3804,341.0,11,61,7,225000000.0,2012.0,816.0,6.8,1.85,40000,3,0.3185286591854378
