artist_name,duration,artist_terms,tempo,key,energy,title,year,release,time_signature,artist_familiarity,loudness,song_hotttnesss,artist_hotttnesss,danceability
Pursuit Of Happiness,245.10649,power pop,131.04,2,0.0,Killed By Love,1988,Love Junk,4,0.508676201038,-9.623,0.445454525493,0.377888131403,0.0
Pursuit Of Happiness,190.04036,power pop,127.987,4,0.0,No Safe Place,0,One Sided Story,4,0.508676201038,-10.368,0.334706549069,0.377888131403,0.0
Soilent Green,180.32281,sludge metal,100.917,2,0.0,Daydreaming the Color of Blood,2001,A Deleted Symphony for the Beaten Down,1,0.460409667072,-5.958,0.447784051196,0.442348448484,0.0
Long Beach Dub Allstars,282.61832,dub,69.737,7,0.0,Kablammin' It,2001,Wonders Of The World,4,0.575412600552,-3.834,nan,0.417351055803,0.0
David Arkenstone,241.99791,celtic,81.952,0,0.0,Over The Rainbow,0,Dream Palace,4,0.639436948822,-15.757,0.0,0.430942043436,0.0
Bézu,186.64444,chanson,122.968,11,0.0,Le rire du sergent,0,Bézu le roi de la fête,4,0.373850623044,-3.574,nan,0.148985480992,0.0
New York Dolls,186.09587,glam rock,122.03,10,0.0,Don't Mess With Cupid (1972 demo),0,Manhattan Mayhem (a history of the Dolls),4,0.717670524729,-12.668,0.0,0.479308459338,0.0
Mark Lowry,553.27302,ccm,122.166,8,0.0,All Mama Ever Wanted  (Album),0,The Last Word,3,0.493926144686,-15.37,0.0,0.319626775917,0.0
Elli Kokkinou,284.65587,pop folk,93.022,6,0.0,Sex (French Version),0,Ki Allo,4,0.311974545572,-5.971,0.0,0.260696788038,0.0
Mathey,262.19057,soukous,108.024,2,0.0,Ballo,0,Iyo,4,0.404099618985,-8.988,nan,0.0,0.0
Shirley Caesar,232.09751,symphony,127.686,2,0.0,It's In The Book (Album Version),0,Rejoice,4,0.57930948808,-11.922,nan,0.370273518966,0.0
Ben Sidran,278.7522,smooth jazz,160.976,7,0.0,See You On The Other Side,0,The Doctor Is In,4,0.599935171947,-9.399,0.0,0.356795543167,0.0
Pierre Perret,90.46159,chanson,135.487,5,0.0,Le poulet,1994,Le Monde de Pierrot,4,0.0185015424026,-11.372,0.0,0.35297647202,0.0
Johnny Pearson,144.48281,orchestra,125.41,0,0.0,Boss-Eyed Whelk,0,KPM 1000 Series: Flamboyant Themes (Volume 2),4,0.421853163547,-11.101,0.0,0.323997368575,0.0
Agnostic Front,98.2722,hardcore punk,130.869,11,0.0,United Blood (Album Version),0,Working Class Heroes,4,0.701441758982,-5.197,0.57903870116,0.504307725982,0.0
Bug Mafia,279.77098,hip hop,186.006,1,0.0,Poezie De Strada / Street Poetry,0,Viata Noastra Vol 1 / Our Life Vol 1,4,0.566442654862,-5.121,0.0,0.444009443159,0.0
Drexel,226.32444,easy listening,137.333,4,0.0,Blood On The Snow,0,TheBloodyTransylvaniaStreetMachine,1,0.464807726204,-9.053,0.0,0.367066705547,0.0
Cool Connection,274.31138,blues,119.957,0,0.0,I'm Your Boogie Man,0,I'm Your Boogie Man / Rotation,4,0.0921250734123,-10.66,nan,0.0,0.0
Jack Miles,174.34077,screamo,120.005,7,0.0,Nuits Orientales,0,Around the World,4,0.312488104914,-6.309,0.202283082127,0.244367257918,0.0
Mons Leidvin Takle,208.32608,lullaby,83.057,5,0.0,Gud Har Ein Plan Med Ditt Liv,0,Tro_ Håp & Kjærlighet,4,0.221726078186,-9.823,0.0,0.282402199352,0.0
Cross Country,189.962,progressive house,185.623,3,0.0,Tastes So Good To Me,2009,Cross Country,4,0.375195664322,-8.165,0.0,0.355707867004,0.0
Falco,271.09832,dance pop,112.352,8,0.0,Junge Römer,1991,Donauinsel Live,5,0.674464704702,-5.928,nan,0.485781602275,0.0
Hatebreed,179.17342,hardcore punk,136.021,0,0.0,Boxed In (Subzero),2009,For The Lions,4,0.832757431314,-4.011,0.553778846063,0.546383748198,0.0
Converge,174.75873,hardcore punk,156.924,1,0.0,Dark Horse,2009,Axe To Fall,4,0.810506205225,-3.373,0.748960569733,0.531157063062,0.0
The Marx Brothers,179.12118,vaudeville,172.809,7,0.0,Everyone says i love you,0,Sing & play,3,0.423401377256,-24.838,nan,0.375652824002,0.0
Philip Glass,161.51465,chamber music,120.003,8,0.0,The Kiss: Golden Coins,0,Philip Glass: Undertow,3,0.711380095973,-26.597,nan,0.466224300345,0.0
Jason Mraz,369.94567,alternative rock,119.234,1,0.0,No Stopping Us [Eagles Ballroom Live Version],0,Tonight_ Not Again: Jason Mraz Live At The Eagles Ballroom,4,0.84297210826,-4.196,0.700152095122,0.793412622763,0.0
Janet Paschal,213.78567,southern gospel,146.807,4,0.0,Take This Trail Trip Beside Me (The Best Of Janet Paschal),0,The Best Of Janet Paschal,3,0.382546666624,-9.793,0.264222979779,0.3351380645,0.0
CoCo Lee,264.01914,dance pop,146.284,5,0.0,Each Time I Think Of You,0,COCO 1994-2008 Best Collection,4,0.473486936345,-8.414,nan,0.219369574912,0.0
Vanessa Daou,225.59302,chill-out,86.743,10,0.0,Joe Sent Me,0,Joe Sent Me,1,0.570825322641,-11.642,0.0,0.40358823765,0.0
La Bergère,243.80036,los angeles,123.437,7,0.0,(Et puis) Elle allait,0,Fi de l'eau,1,0.421059813571,-11.451,nan,0.0,0.0
Naughty By Nature,279.90159,gangster rap,93.925,6,0.0,Guard Your Grill (LP Version),0,Greatest Hits: Naughty's Nicest,4,0.679748141444,-7.805,nan,0.458595402877,0.0
Memphis La Blusera,221.64853,chicago blues,132.023,7,0.0,Amigo mío,2001,Angelitos Culones,4,0.472247769437,-6.246,0.212045405484,0.316724550698,0.0
The Chap,216.2673,future jazz,181.863,4,0.0,What's Love Got to Do With It,2008,Proper Rock,4,0.612657823643,-7.507,0.392008771471,0.457611173992,0.0
Shamen,292.28363,tech house,125.749,1,0.0,Phorever People,1992,Boss Drum (album),4,0.605880471066,-11.197,0.688895461034,0.393660867924,0.0
Jane Winther,345.0771,meditation,19.657,0,0.0,Om,0,Mantra,1,0.317391380089,-21.779,nan,0.345284772988,0.0
Jyve V,191.92118,latin,132.082,10,0.0,Maria Morena,0,15 De Coleccion,4,0.463840400759,-6.435,nan,0.242783189064,0.0
Wilks,264.48934,hip hop,90.007,2,0.0,Still feel pain,0,Tears,4,0.351182453883,-9.224,nan,0.0801669386642,0.0
Nancy Walker,185.44281,vaudeville,47.682,10,0.0,Boy! What Love Has to Me!,0,My Heart Is Yours (50 Valentine Classics from the Past),4,0.400152096821,-12.172,nan,0.160048534865,0.0
Rainbow,454.1122,heavy metal,135.206,5,0.0,Rainbow Eyes,1978,Catch The Rainbow: The Anthology,4,0.700635527796,-23.44,nan,0.511546183775,0.0
