artist_name,duration,artist_terms,tempo,key,energy,title,year,release,time_signature,artist_familiarity,loudness,song_hotttnesss,artist_hotttnesss,danceability
Pursuit Of Happiness,245.10649,power pop,131.04,2,0.0,Killed By Love,1988,Love Junk,4,0.508676201038,-9.623,0.445454525493,0.377888131403,0.0
Pursuit Of Happiness,190.04036,power pop,127.987,4,0.0,No Safe Place,0,One Sided Story,4,0.508676201038,-10.368,0.334706549069,0.377888131403,0.0
Bézu,186.64444,chanson,122.968,11,0.0,Le rire du sergent,0,Bézu le roi de la fête,4,0.373850623044,-3.574,nan,0.148985480992,0.0
Mark Lowry,553.27302,ccm,122.166,8,0.0,All Mama Ever Wanted  (Album),0,The Last Word,3,0.493926144686,-15.37,0.0,0.319626775917,0.0
Ben Sidran,278.7522,smooth jazz,160.976,7,0.0,See You On The Other Side,0,The Doctor Is In,4,0.599935171947,-9.399,0.0,0.356795543167,0.0
Pierre Perret,90.46159,chanson,135.487,5,0.0,Le poulet,1994,Le Monde de Pierrot,4,0.0185015424026,-11.372,0.0,0.35297647202,0.0
Agnostic Front,98.2722,hardcore punk,130.869,11,0.0,United Blood (Album Version),0,Working Class Heroes,4,0.701441758982,-5.197,0.57903870116,0.504307725982,0.0
Bug Mafia,279.77098,hip hop,186.006,1,0.0,Poezie De Strada / Street Poetry,0,Viata Noastra Vol 1 / Our Life Vol 1,4,0.566442654862,-5.121,0.0,0.444009443159,0.0
Drexel,226.32444,easy listening,137.333,4,0.0,Blood On The Snow,0,TheBloodyTransylvaniaStreetMachine,1,0.464807726204,-9.053,0.0,0.367066705547,0.0
Cool Connection,274.31138,blues,119.957,0,0.0,I'm Your Boogie Man,0,I'm Your Boogie Man / Rotation,4,0.0921250734123,-10.66,nan,0.0,0.0
Cross Country,189.962,progressive house,185.623,3,0.0,Tastes So Good To Me,2009,Cross Country,4,0.375195664322,-8.165,0.0,0.355707867004,0.0
Falco,271.09832,dance pop,112.352,8,0.0,Junge Römer,1991,Donauinsel Live,5,0.674464704702,-5.928,nan,0.485781602275,0.0
Hatebreed,179.17342,hardcore punk,136.021,0,0.0,Boxed In (Subzero),2009,For The Lions,4,0.832757431314,-4.011,0.553778846063,0.546383748198,0.0
Converge,174.75873,hardcore punk,156.924,1,0.0,Dark Horse,2009,Axe To Fall,4,0.810506205225,-3.373,0.748960569733,0.531157063062,0.0
Janet Paschal,213.78567,southern gospel,146.807,4,0.0,Take This Trail Trip Beside Me (The Best Of Janet Paschal),0,The Best Of Janet Paschal,3,0.382546666624,-9.793,0.264222979779,0.3351380645,0.0
CoCo Lee,264.01914,dance pop,146.284,5,0.0,Each Time I Think Of You,0,COCO 1994-2008 Best Collection,4,0.473486936345,-8.414,nan,0.219369574912,0.0
Vanessa Daou,225.59302,chill-out,86.743,10,0.0,Joe Sent Me,0,Joe Sent Me,1,0.570825322641,-11.642,0.0,0.40358823765,0.0
Naughty By Nature,279.90159,gangster rap,93.925,6,0.0,Guard Your Grill (LP Version),0,Greatest Hits: Naughty's Nicest,4,0.679748141444,-7.805,nan,0.458595402877,0.0
Shamen,292.28363,tech house,125.749,1,0.0,Phorever People,1992,Boss Drum (album),4,0.605880471066,-11.197,0.688895461034,0.393660867924,0.0
Jane Winther,345.0771,meditation,19.657,0,0.0,Om,0,Mantra,1,0.317391380089,-21.779,nan,0.345284772988,0.0
Wilks,264.48934,hip hop,90.007,2,0.0,Still feel pain,0,Tears,4,0.351182453883,-9.224,nan,0.0801669386642,0.0
Rainbow,454.1122,heavy metal,135.206,5,0.0,Rainbow Eyes,1978,Catch The Rainbow: The Anthology,4,0.700635527796,-23.44,nan,0.511546183775,0.0
Janis Joplin,183.14404,blues-rock,137.368,7,0.0,Down On Me,1972,ANTHOLOGY,1,0.829603740082,-11.864,nan,0.559925868569,0.0
Eko Fresh,238.13179,pop rap,86.928,1,0.0,Hart(z) IV,0,Hart(z) IV,4,0.689494764993,-1.714,0.407233014901,0.355905629781,0.0
Enrique Iglesias,222.14485,dance pop,114.983,8,0.0,Do You Know? (The Ping Pong Song),2007,Big Summer Tunes,4,0.8494467361,-5.01,nan,0.794248176914,0.0
Céline Dion,274.57261,soft rock,120.047,1,0.0,"Because You Loved Me (Theme from ""Up Close and Personal"")",1996,My Love Ultimate Essential Collection,4,0.737437395434,-7.722,nan,0.663686475969,0.0
Sugar Ray,161.82812,post-grunge,92.299,11,0.0,Mean Machine (Remastered LP Version),2005,The Best Of Sugar Ray,4,0.718400769006,-4.068,0.563246899281,0.472512950174,0.0
Jimmy McGriff,210.33751,jazz funk,95.87,8,0.0,Cumayon,0,Jimmy McGriff - Pisces,4,0.590243796791,-8.901,0.265861049211,0.38742327101,0.0
Gabriel Yared,100.0224,latin jazz,137.149,4,0.0,Ship in a Painting,2007,1408,3,0.61180147146,-15.417,0.212045405484,0.399042081432,0.0
The Jeff Healey Band,223.92118,blues-rock,126.16,9,0.0,My Little Girl,1988,LIVE AT MONTREUX,4,0.716854351769,-7.457,0.678161108942,0.414236247722,0.0
REX ALLEN JR.,165.04118,country rock,80.242,7,0.0,Don't Say Goodbye (Album Version),0,The Very Best Of Rex Allen_ Jr.,4,0.259374908464,-11.647,0.212045405484,0.0,0.0
A-FS,205.94893,hardcore punk,98.254,11,0.0,Get it Right,0,Alienated From Society - Single,4,0.47674864816,-10.15,nan,0.0,0.0
Sylvia Tosun,575.79057,progressive house,127.968,8,0.0,Head Over Heels,2004,Head Over Heels - Club Mixes,4,0.525869437095,-6.319,nan,0.435127194848,0.0
Hound Dog Taylor and The Houserockers,335.28118,blues-rock,95.48,4,0.0,Rock Me Baby - Live,0,Live In Boston,1,0.450585595863,-12.02,nan,0.336820368674,0.0
KT Tunstall,295.07873,folk-pop,137.806,7,0.0,Boo Hoo,2005,Eye To The Telescope / KT Tunstall's Acoustic Extravaganza,1,0.793708084007,-7.272,0.607908632984,0.589856179924,0.0
Noel Harrison,166.73914,folk-pop,146.688,10,0.0,Sparrow (Remastered Album Version),0,Life Is A Dream [Digital Version],4,0.425009175303,-12.876,0.0,0.329805263641,0.0
Shunza,278.38649,chinese music,141.733,6,0.0,Dear Friend,0,Day & Night ... My Favorite Shunza,4,0.11454804618,-8.737,nan,0.0,0.0
Ray Charles,170.00444,blues,154.332,1,0.0,Heartbreaker,0,When Jazz Was King,4,0.759912526334,-8.733,nan,0.673207274956,0.0
Seal,368.06485,dance pop,123.795,6,0.0,The Beginning (Giro E Giro Mix),1991,The Beginning,4,0.567313224122,-12.1,nan,0.58001318294,0.0
Madonna,320.1824,dance pop,130.003,7,0.0,Jump [Jacques Lu Cont Edit],2006,Jump,4,0.915823253033,-7.288,0.460541281359,0.665576619159,0.0
